="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",="",="(13)",="",="(14)",="",="(15)",="",="(16)",="",="(17)",="",="(18)",="",="(19)",="",="(20)",="",="(21)",="",="(22)",="",="(23)",="",="(24)",="",="(25)",="",="(26)",="",="(27)",="",="(28)",="",="(29)",="",="(30)",="",="(31)",="",="(32)",="",="(33)",="",="(34)",="",="(35)",="",="(36)",="",="(37)",="",="(38)",="",="(39)",="",="(40)",="",="(41)",="",="(42)",="",="(43)",="",="(44)",="",="(45)",="",="(46)",="",="(47)",="",="(48)",="",="(49)",="",="(50)",="",="(51)",="",="(52)",="",="(53)",="",="(54)",="",="(55)",="",="(56)",="",="(57)",="",="(58)",="",="(59)",="",="(60)",="",="(61)",="",="(62)",="",="(63)",="",="(64)",="",="(65)",="",="(66)",="",="(67)",="",="(68)",="",="(69)",="",="(70)",="",="(71)",="",="(72)",="",="(73)",="",="(74)",="",="(75)",="",="(76)",=""
="",="re_AIGranted_a",="",="re_AIGranted_a_2011_b",="",="re_AIGranted_a_2011_a",="",="re_AIGranted_a_2012_b",="",="re_AIGranted_a_2012_a",="",="re_AIGranted_a_2013_b",="",="re_AIGranted_a_2013_a",="",="re_AIGranted_a_2014_b",="",="re_AIGranted_a_2014_a",="",="re_AIGranted_a_2015_b",="",="re_AIGranted_a_2015_a",="",="re_AIGranted_a_2016_b",="",="re_AIGranted_a_2016_a",="",="re_AIGranted_a_2017_b",="",="re_AIGranted_a_2017_a",="",="re_AIGranted_a_2018_b",="",="re_AIGranted_a_2018_a",="",="re_AIGranted_a_2019_b",="",="re_AIGranted_a_2019_a",="",="re_AIPublished_a",="",="re_AIPublished_a_2011_b",="",="re_AIPublished_a_2011_a",="",="re_AIPublished_a_2012_b",="",="re_AIPublished_a_2012_a",="",="re_AIPublished_a_2013_b",="",="re_AIPublished_a_2013_a",="",="re_AIPublished_a_2014_b",="",="re_AIPublished_a_2014_a",="",="re_AIPublished_a_2015_b",="",="re_AIPublished_a_2015_a",="",="re_AIPublished_a_2016_b",="",="re_AIPublished_a_2016_a",="",="re_AIPublished_a_2017_b",="",="re_AIPublished_a_2017_a",="",="re_AIPublished_a_2018_b",="",="re_AIPublished_a_2018_a",="",="re_AIPublished_a_2019_b",="",="re_AIPublished_a_2019_a",="",="re_ICTGranted_a",="",="re_ICTGranted_a_2011_b",="",="re_ICTGranted_a_2011_a",="",="re_ICTGranted_a_2012_b",="",="re_ICTGranted_a_2012_a",="",="re_ICTGranted_a_2013_b",="",="re_ICTGranted_a_2013_a",="",="re_ICTGranted_a_2014_b",="",="re_ICTGranted_a_2014_a",="",="re_ICTGranted_a_2015_b",="",="re_ICTGranted_a_2015_a",="",="re_ICTGranted_a_2016_b",="",="re_ICTGranted_a_2016_a",="",="re_ICTGranted_a_2017_b",="",="re_ICTGranted_a_2017_a",="",="re_ICTGranted_a_2018_b",="",="re_ICTGranted_a_2018_a",="",="re_ICTGranted_a_2019_b",="",="re_ICTGranted_a_2019_a",="",="re_ICTPublished_a",="",="re_ICTPublished_a_2011_b",="",="re_ICTPublished_a_2011_a",="",="re_ICTPublished_a_2012_b",="",="re_ICTPublished_a_2012_a",="",="re_ICTPublished_a_2013_b",="",="re_ICTPublished_a_2013_a",="",="re_ICTPublished_a_2014_b",="",="re_ICTPublished_a_2014_a",="",="re_ICTPublished_a_2015_b",="",="re_ICTPublished_a_2015_a",="",="re_ICTPublished_a_2016_b",="",="re_ICTPublished_a_2016_a",="",="re_ICTPublished_a_2017_b",="",="re_ICTPublished_a_2017_a",="",="re_ICTPublished_a_2018_b",="",="re_ICTPublished_a_2018_a",="",="re_ICTPublished_a_2019_b",="",="re_ICTPublished_a_2019_a",=""
="AIGranted_a",="-2.908***",="(0.000)",="-374.677",="(0.107)",="-2.348***",="(0.001)",="21.511",="(0.922)",="-2.006**",="(0.003)",="112.723",="(0.489)",="-1.512**",="(0.004)",="175.456",="(0.139)",="-1.336*",="(0.020)",="119.742",="(0.112)",="-1.171+",="(0.085)",="72.550",="(0.143)",="-1.704+",="(0.072)",="19.532",="(0.607)",="-2.035",="(0.191)",="-13.805",="(0.501)",="-2.700",="(0.413)",="-9.540",="(0.127)",="-5.270",="(0.601)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trend",="-0.239***",="(0.000)",="-0.214*",="(0.033)",="-0.280***",="(0.000)",="-0.293*",="(0.037)",="-0.306***",="(0.000)",="-0.318*",="(0.013)",="-0.346***",="(0.000)",="-0.342**",="(0.003)",="-0.362***",="(0.000)",="-0.314***",="(0.001)",="-0.377***",="(0.000)",="-0.284***",="(0.000)",="-0.323**",="(0.007)",="-0.245***",="(0.000)",="-0.286",="(0.105)",="-0.212***",="(0.000)",="-0.204",="(0.578)",="-0.218***",="(0.000)",="0.142",="(0.906)",="-0.220***",="(0.000)",="-0.425*",="(0.028)",="-0.239***",="(0.000)",="-0.452**",="(0.009)",="-0.271***",="(0.000)",="-0.331**",="(0.001)",="-0.334***",="(0.000)",="-0.338***",="(0.000)",="-0.374**",="(0.001)",="-0.314***",="(0.000)",="-0.435**",="(0.004)",="-0.263***",="(0.000)",="-0.452*",="(0.015)",="-0.216***",="(0.000)",="-0.485*",="(0.025)",="-0.214***",="(0.000)",="-0.486+",="(0.057)",="-0.217***",="(0.000)",="-0.443",="(0.166)",="-0.177***",="(0.001)",="-0.298**",="(0.004)",="-0.266*",="(0.016)",="-0.275**",="(0.008)",="-0.360**",="(0.007)",="-0.262**",="(0.005)",="-0.482***",="(0.000)",="-0.254**",="(0.005)",="-0.564***",="(0.000)",="-0.235**",="(0.003)",="-0.556***",="(0.000)",="-0.237**",="(0.001)",="-0.556**",="(0.001)",="-0.224***",="(0.001)",="-0.547**",="(0.006)",="-0.207***",="(0.001)",="-0.507+",="(0.059)",="-0.196***",="(0.000)",="-0.480",="(0.201)",="-0.284***",="(0.000)",="-0.288**",="(0.002)",="-0.472***",="(0.000)",="-0.297***",="(0.000)",="-0.485***",="(0.000)",="-0.305***",="(0.000)",="-0.486***",="(0.000)",="-0.303***",="(0.000)",="-0.483***",="(0.000)",="-0.291***",="(0.000)",="-0.479***",="(0.000)",="-0.268***",="(0.000)",="-0.479***",="(0.000)",="-0.241***",="(0.000)",="-0.492**",="(0.001)",="-0.233***",="(0.000)",="-0.517**",="(0.010)",="-0.230***",="(0.000)",="-0.623+",="(0.060)"
="AIPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.395***",="(0.000)",="184.009",="(0.384)",="-1.307**",="(0.002)",="263.243",="(0.132)",="-1.098*",="(0.014)",="62.858",="(0.168)",="-0.708+",="(0.086)",="76.263*",="(0.048)",="-0.483",="(0.315)",="52.918*",="(0.047)",="-0.162",="(0.768)",="19.226",="(0.165)",="-0.093",="(0.890)",="-1.440",="(0.746)",="-0.029",="(0.966)",="-2.150",="(0.238)",="-0.200",="(0.798)",="-1.672+",="(0.069)",="-0.950",="(0.486)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTGranted_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-7.032**",="(0.009)",="-8.752",="(0.173)",="-4.610",="(0.252)",="-1.554",="(0.825)",="-1.464",="(0.716)",="0.341",="(0.959)",="2.166",="(0.484)",="2.866",="(0.676)",="4.387",="(0.103)",="1.987",="(0.759)",="3.608",="(0.158)",="2.670",="(0.631)",="3.566",="(0.230)",="0.119",="(0.980)",="2.695",="(0.473)",="-2.443",="(0.517)",="-0.846",="(0.934)",="-3.600",="(0.142)",="-6.996",="(0.707)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.460",="(0.773)",="19.956*",="(0.050)",="2.679",="(0.106)",="17.581**",="(0.009)",="2.427+",="(0.078)",="12.948**",="(0.007)",="1.785+",="(0.074)",="10.747**",="(0.002)",="1.353",="(0.179)",="6.989**",="(0.009)",="0.779",="(0.512)",="3.551*",="(0.049)",="0.797",="(0.639)",="0.880",="(0.512)",="0.220",="(0.908)",="-0.001",="(0.999)",="-0.570",="(0.806)",="-0.497",="(0.671)",="-4.068",="(0.300)"
="_cons",="57.474***",="(0.000)",="58.615***",="(0.000)",="57.594***",="(0.000)",="57.061***",="(0.000)",="57.671***",="(0.000)",="56.658***",="(0.000)",="57.805***",="(0.000)",="56.334***",="(0.000)",="57.861***",="(0.000)",="56.662***",="(0.000)",="57.923***",="(0.000)",="56.972***",="(0.000)",="57.689***",="(0.000)",="57.352***",="(0.000)",="57.518***",="(0.000)",="57.632***",="(0.000)",="57.116***",="(0.001)",="57.589***",="(0.000)",="55.323+",="(0.056)",="57.562***",="(0.000)",="55.117***",="(0.000)",="57.630***",="(0.000)",="54.444***",="(0.000)",="57.691***",="(0.000)",="56.483***",="(0.000)",="57.834***",="(0.000)",="56.350***",="(0.000)",="57.937***",="(0.000)",="56.648***",="(0.000)",="58.126***",="(0.000)",="57.172***",="(0.000)",="58.187***",="(0.000)",="57.573***",="(0.000)",="58.380***",="(0.000)",="57.592***",="(0.000)",="58.534***",="(0.000)",="57.573***",="(0.000)",="58.884**",="(0.006)",="59.338***",="(0.000)",="58.911***",="(0.000)",="58.870***",="(0.000)",="57.557***",="(0.000)",="58.156***",="(0.000)",="57.235***",="(0.000)",="57.412***",="(0.000)",="56.741***",="(0.000)",="57.012***",="(0.000)",="57.032***",="(0.000)",="57.292***",="(0.000)",="56.873***",="(0.000)",="57.309***",="(0.000)",="57.497***",="(0.000)",="57.622***",="(0.000)",="58.148***",="(0.000)",="58.901**",="(0.003)",="58.453***",="(0.000)",="61.468+",="(0.055)",="57.502***",="(0.000)",="50.155***",="(0.000)",="56.432***",="(0.000)",="50.931***",="(0.000)",="56.672***",="(0.000)",="52.509***",="(0.000)",="57.113***",="(0.000)",="53.294***",="(0.000)",="57.392***",="(0.000)",="54.689***",="(0.000)",="57.761***",="(0.000)",="56.034***",="(0.000)",="57.748***",="(0.000)",="57.126***",="(0.000)",="58.253***",="(0.000)",="57.487***",="(0.000)",="59.008***",="(0.001)",="57.685***",="(0.000)",="62.341*",="(0.019)"
="N",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",="",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",="",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",="",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",=""
="p-values in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
